scene,seed,rep,arm,seconds,cost,target
venice-52,60,1,selective,0.7364583970047534,34336.77159506665,33854.445024428045
venice-52,60,1,selective,0.8001739461906254,33688.93809559497,33854.445024428045
venice-52,60,2,selective,0.0,480373.765840527,33854.445024428045
venice-52,60,2,selective,0.11127620097249746,114110.73961609644,33854.445024428045
venice-52,60,2,selective,0.18159301299601793,98026.97292054926,33854.445024428045
venice-52,60,2,selective,0.24689160333946347,90322.58280223941,33854.445024428045
venice-52,60,2,selective,0.3220102973282337,82634.89106065228,33854.445024428045
venice-52,60,2,selective,0.3863217062316835,73568.86692756297,33854.445024428045
venice-52,60,2,selective,0.4606523001566529,62786.04126958949,33854.445024428045
venice-52,60,2,selective,0.5261039300821722,51316.88844855586,33854.445024428045
venice-52,60,2,selective,0.5892454492859542,41879.37749945067,33854.445024428045
venice-52,60,2,selective,0.6540452791377902,36456.50486680363,33854.445024428045
venice-52,60,2,selective,0.7188780079595745,34336.77159506665,33854.445024428045
venice-52,60,2,selective,0.7821363271214068,33688.93809559497,33854.445024428045
venice-52,61,0,fine,0.0,426696.9535162182,30066.36126838933
venice-52,61,0,fine,0.06455165892839432,103156.11116886792,30066.36126838933
venice-52,61,0,fine,0.13410234078764915,88792.80856879886,30066.36126838933
venice-52,61,0,fine,0.19983918080106378,81895.85555212351,30066.36126838933
venice-52,61,0,fine,0.2734775748103857,75154.5453354054,30066.36126838933
venice-52,61,0,fine,0.3365841042250395,67568.09083773186,30066.36126838933
venice-52,61,0,fine,0.4058709451928735,58720.02647375007,30066.36126838933
venice-52,61,0,fine,0.4687847839668393,48793.06462353478,30066.36126838933
venice-52,61,0,fine,0.5384796760044992,39594.89349782244,30066.36126838933
venice-52,61,0,fine,0.6006882637739182,33535.79952509258,30066.36126838933
venice-52,61,0,fine,0.6633981629274786,30839.622707383252,30066.36126838933
venice-52,61,0,fine,0.7279423121362925,29963.302113748785,30066.36126838933
venice-52,61,1,fine,0.0,426696.9535162182,30066.36126838933
venice-52,61,1,fine,0.06445564888417721,103156.11116886792,30066.36126838933
venice-52,61,1,fine,0.13432945124804974,88792.80856879886,30066.36126838933
venice-52,61,1,fine,0.1977474302984774,81895.85555212351,30066.36126838933
venice-52,61,1,fine,0.2720460440032184,75154.5453354054,30066.36126838933
venice-52,61,1,fine,0.3353193928487599,67568.09083773186,30066.36126838933
venice-52,61,1,fine,0.40487453527748585,58720.02647375007,30066.36126838933
venice-52,61,1,fine,0.4674177332781255,48793.06462353478,30066.36126838933
venice-52,61,1,fine,0.5371815948747098,39594.89349782244,30066.36126838933
venice-52,61,1,fine,0.5989817632362247,33535.79952509258,30066.36126838933
venice-52,61,1,fine,0.6617761920206249,30839.622707383252,30066.36126838933
venice-52,61,1,fine,0.7263261019252241,29963.302113748785,30066.36126838933
venice-52,61,2,fine,0.0,426696.9535162182,30066.36126838933
venice-52,61,2,fine,0.06440673023462296,103156.11116886792,30066.36126838933
venice-52,61,2,fine,0.13452526228502393,88792.80856879886,30066.36126838933
venice-52,61,2,fine,0.19787729158997536,81895.85555212351,30066.36126838933
venice-52,61,2,fine,0.2715309844352305,75154.5453354054,30066.36126838933
venice-52,61,2,fine,0.3346407334320247,67568.09083773186,30066.36126838933
venice-52,61,2,fine,0.4042248954065144,58720.02647375007,30066.36126838933
venice-52,61,2,fine,0.46708819456398487,48793.06462353478,30066.36126838933
venice-52,61,2,fine,0.5366363362409174,39594.89349782244,30066.36126838933
