accepted,arm,cap_hit,cheirality_obs,final_cost,handover_outer,handover_reason,hit,hybrid_failures,hybrid_open,hybrid_products,hybrid_seconds,hybrid_sweeps,matvecs,median_reproj_px,native_seconds,outers,process_seconds,rejects,rep,scene,source,stage,stop_reason,target,target_seconds
8,champion,False,33,13674.1989771963,,,False,,,,,,79,0.388107,0.041426,8,0.46554385498166084,0,1,ladybug-49,evidence/original-parity/ladybug-49-champion-1,original-parity,other_or_outer_cap,,
8,champion,False,33,13674.1989767927,,,False,,,,,,79,0.388107,0.039614,8,0.41542531037703156,0,2,ladybug-49,evidence/original-parity/ladybug-49-champion-2,original-parity,other_or_outer_cap,,
8,champion,False,2,285659.1154891513,,,False,,,,,,62,0.390647,0.14501,8,0.7660492206923664,1,0,venice-52,evidence/original-parity/venice-52-champion-0,original-parity,other_or_outer_cap,,
8,champion,False,2,285659.1167636371,,,False,,,,,,62,0.390646,0.148248,8,0.76622006110847,1,1,venice-52,evidence/original-parity/venice-52-champion-1,original-parity,other_or_outer_cap,,
8,champion,False,2,285659.214167652,,,False,,,,,,62,0.390645,0.145056,8,0.715951066929847,1,2,venice-52,evidence/original-parity/venice-52-champion-2,original-parity,other_or_outer_cap,,
7,champion,False,0,360836.3600003629,,,True,,,,,,53,0.659164,0.128669,7,0.7158002560026944,0,0,dubrovnik-88,evidence/small/dubrovnik-88-champion-0,small,target,362535.1656903924,0.125669141
7,champion,False,0,360836.3603079314,,,True,,,,,,53,0.659164,0.120179,7,0.7154169860295951,0,1,dubrovnik-88,evidence/small/dubrovnik-88-champion-1,small,target,362535.1656903924,0.116716827
7,champion,False,0,360836.3599224913,,,True,,,,,,53,0.659164,0.11926,7,0.766390360891819,0,2,dubrovnik-88,evidence/small/dubrovnik-88-champion-2,small,target,362535.1656903924,0.116250136
7,champion,False,0,360836.3602247264,,,True,,,,,,53,0.659164,0.119842,7,0.7174153560772538,0,3,dubrovnik-88,evidence/small/dubrovnik-88-champion-3,small,target,362535.1656903924,0.116816993
7,champion,False,0,360836.3601455857,,,True,,,,,,53,0.659164,0.119169,7,0.71617864491418,0,4,dubrovnik-88,evidence/small/dubrovnik-88-champion-4,small,target,362535.1656903924,0.116161263
7,champion,False,0,360836.3578487791,,,True,,,,,,53,0.659164,0.12168,7,0.715979334898293,0,5,dubrovnik-88,evidence/small/dubrovnik-88-champion-5,small,target,362535.1656903924,0.118675983
7,champion,False,0,360836.3565732916,,,True,,,,,,53,0.659164,0.119102,7,0.7156254253350198,0,6,dubrovnik-88,evidence/small/dubrovnik-88-champion-6,small,target,362535.1656903924,0.116072403
7,champion,False,0,360836.3598825858,,,True,,,,,,53,0.659164,0.122696,7,0.715691243764013,0,7,dubrovnik-88,evidence/small/dubrovnik-88-champion-7,small,target,362535.1656903924,0.119711664
7,champion,False,0,360836.3599328596,,,True,,,,,,53,0.659164,0.11929,7,0.7158526349812746,0,8,dubrovnik-88,evidence/small/dubrovnik-88-champion-8,small,target,362535.1656903924,0.116292473
7,champion,False,0,360836.3558780955,,,True,,,,,,53,0.659164,0.120399,7,0.7161994040943682,0,9,dubrovnik-88,evidence/small/dubrovnik-88-champion-9,small,target,362535.1656903924,0.117368164
5,menu_feedback,False,7,362508.8175195785,,,True,0,True,347,0.320203275,5,347,0.655545,0.373025,5,0.9664607578888535,0,0,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-0,small,target,362535.1656903924,0.370037019
6,menu_feedback,False,7,359609.5148576843,,,True,0,True,465,0.419270164,6,465,0.654811,0.479265,6,1.0666751260869205,0,1,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-1,small,target,362535.1656903924,0.47629128
6,menu_feedback,False,51,362060.8946412662,,,True,0,True,401,0.371438869,7,401,0.657364,0.454669,6,1.0671368460170925,1,2,dubrovnik-88,evidence/small/dubrovnik-88-menu_feedback-2,small,target,362535.1656903924,0.434959471
