panel,arm,rep,seconds,cost,target
"disconnected bridges, seed100",fixed,0,0.09545682929456234,9.053944371340117,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.09858467010781169,9.053944371340117,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.101826012134552,9.053944371340117,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.10496793407946825,9.053944371340117,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.1082116449251771,9.053944371340117,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.1115793869830668,9.053944371339995,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.11480922903865576,9.053944371339995,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.11845330009236932,9.053944371339995,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.12167709227651358,9.053944371339995,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.12535198405385017,9.053944371339995,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.12859097635373473,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.13179300725460052,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.13494243938475847,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.13806090038269758,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.14118766225874424,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.1443783543072641,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.1475412449799478,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.15070193726569414,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.15384266898036003,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.1569581599906087,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.16007810225710273,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.1632199133746326,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.1663620052859187,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.16950200637802482,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.17265256820246577,9.053944371339938,15.170246702731902
"disconnected bridges, seed100",fixed,0,0.17577331000939012,9.053944371339938,15.170246702731902
