scene,capture_rep,role,arm,repetitions,cost,true_decrease,rho,Dfull,Dcamera,Dpoint,Dcross,point_error_absolute,point_error_top200_fraction,flings,max_point_displacement,full_scaled_normal_relative,point_whitened_relative,point_global_backward
final-3068,0,primary,exact,3,1832077.7750665017,-218.7570799523564,-16.37015436758483,232.12024532271624,232.13142394579654,2.611353558685578e-07,-0.011178884215646275,3.2754746237312484e-07,0.8038884668624992,0,3.1197057158464833e-06,6.382783483363903e-09,2.592848062286944e-10,4.3504444278278193e-07
final-3068,0,primary,exact_clip,3,1831858.8176358363,0.2003507129451303,0.5860410224863779,0.14152076918270529,0.14177786506280365,2.62627401927247e-07,-0.00025735850750030855,3.2845985713000624e-07,0.8051955371545846,0,3.1230578903831157e-06,0.9744867057767067,2.5928503017421135e-10,4.348228476322101e-07
final-3068,5,primary,eta2,1,1866070.1685665278,15.267472967430908,0.26643348841707487,42.035657574219414,6.3042344952533,16.016931746236246,19.714491332729864,16.016941957553477,0.9999999514651461,0,0.0038649381822001942,0.9967047567571,3.654149695428882e-10,2.3720135782548726e-08
final-3068,5,primary,exact,3,2071394.9841194712,-205309.54807997608,-14.662958248534805,219311.46669694356,217955.5549217102,8.82414273560259,1347.0876324977771,8.82523096657754,0.9999983627946968,0,0.06566121821125685,6.522547599987845e-10,3.085504488902278e-10,2.5493598334028913e-08
final-3068,5,primary,exact_clip,3,1866070.1581241502,15.27791534488129,0.2666022618197973,42.02810764455604,6.3015339845669756,16.01636318114446,19.7102104788446,16.016373392151667,0.999999951458578,0,0.0038636002475267027,0.9967043278060879,3.0863209881612235e-10,2.371145961426121e-08
final-3068,6,primary,eta2,1,1951880.100806328,0.02632325321528392,0.26740424082830416,0.07211667104973798,0.0028977111716874658,0.04619233249213008,0.02302662738592043,0.04619240595036626,0.9999985012292981,0,0.0026957560276442464,0.9999965261977212,3.9253308368154253e-10,9.797956153604717e-06
final-3068,6,primary,exact,3,2485806.743058265,-533926.6159286841,-27.84867106682246,553099.0430311313,553092.0948152908,0.023837905895565503,6.924377934620349,0.025355856678532254,0.9973627690786243,0,15.839896795855537,1.5732155420244214e-09,3.9251838496323694e-10,9.356392455744802e-06
final-3068,6,primary,exact_clip,3,1951880.100756794,0.026372787286709352,0.26788301873852177,0.07207610809643397,0.002889607171975123,0.04619233088290637,0.02299417004155249,0.04619240449671425,0.9999985004119759,0,0.002695895298752732,0.9999965252877148,3.9253039447028066e-10,9.797956097634623e-06
ladybug-1197,0,primary,eta2,1,2054200.955535317,6115573.853174451,0.7985381462449914,1542887.9021368516,143165.59260116256,1526030.418159735,-126308.10862404575,1568994.7942691657,0.9838832508198896,1,16.296660291133733,0.009848775578707347,1.4840619294816458e-08,2.2278725766201458e-06
ladybug-1197,0,primary,exact,3,2002780.5044976515,6166994.304212117,0.8048047863218595,1495726.4064793296,487067.9147046052,1200508.5268508343,-191850.03507611,1244368.9785280966,0.9769102235553302,1,15.39604206294781,3.454261983131145e-09,1.9440900239938598e-09,3.957121370361768e-06
ladybug-1197,0,primary,exact_clip,3,2002780.5044976515,6166994.304212117,0.8048047863218595,1495726.4064793296,487067.9147046052,1200508.5268508343,-191850.03507611,1244368.9785280966,0.9769102235553302,1,15.39604206294781,3.454261983131145e-09,1.9440900239938598e-09,3.957121370361768e-06
ladybug-1197,1,repeat_control,eta2,1,2054200.9555354808,6115573.853174286,0.7985381462449699,1542887.9021370178,143165.59260125988,1526030.4181597154,-126308.10862395754,1568994.7942691469,0.9838832508198894,1,16.296660291134007,0.009848775578710594,1.4840618389268264e-08,2.227872576563055e-06
ladybug-1197,1,repeat_control,exact,3,2002780.504497651,6166994.304212116,0.8048047863218595,1495726.4064793305,487067.9147046008,1200508.5268508862,-191850.03507615667,1244368.9785281478,0.9769102235553329,1,15.396042062947739,3.4542619835951153e-09,1.944090023383624e-09,3.95712137016354e-06
ladybug-1197,1,repeat_control,exact_clip,3,2002780.504497651,6166994.304212116,0.8048047863218595,1495726.4064793305,487067.9147046008,1200508.5268508862,-191850.03507615667,1244368.9785281478,0.9769102235553329,1,15.396042062947739,3.4542619835951153e-09,1.944090023383624e-09,3.95712137016354e-06
ladybug-1197,2,repeat_control,eta2,1,2054200.955535322,6115573.853174428,0.7985381462449902,1542887.9021368572,143165.5926011707,1526030.4181596877,-126308.10862400105,1568994.7942691203,0.9838832508198888,1,16.296660291133765,0.00984877557871044,1.48406183569064e-08,2.227872569080616e-06
ladybug-1197,2,repeat_control,exact,3,2002780.5044976536,6166994.304212097,0.8048047863218587,1495726.4064793326,487067.9147045986,1200508.526850836,-191850.03507610183,1244368.9785280975,0.9769102235553307,1,15.396042062947785,3.4542619756539457e-09,1.9440900200867842e-09,3.957121357419975e-06
ladybug-1197,2,repeat_control,exact_clip,3,2002780.5044976536,6166994.304212097,0.8048047863218587,1495726.4064793326,487067.9147045986,1200508.526850836,-191850.03507610183,1244368.9785280975,0.9769102235553307,1,15.396042062947785,3.4542619756539457e-09,1.9440900200867842e-09,3.957121357419975e-06
