arm,binary_sha256,cost,endpoint_audit,evidence,hit,host,input_sha256,native_seconds,native_trace_min,rep,scene,source,target,target_seconds,timing_kind,valid
MFREE base,,2148962.694238889,collaborator-reported,collaborator CSV,False,Claude,,19.936364,,1,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE base,,2148860.7948573106,collaborator-reported,collaborator CSV,False,Claude,,12.27044,,2,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE base,,2149000.7116169753,collaborator-reported,collaborator CSV,False,Claude,,8.893701,,3,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE base,,2148004.0743108275,collaborator-reported,collaborator CSV,False,Claude,,13.328276,,4,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE base,,2150348.481084481,collaborator-reported,collaborator CSV,False,Claude,,4.843511,,5,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE base,,2149226.468023294,collaborator-reported,collaborator CSV,False,Claude,,8.729081,,6,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE base,,2148656.8840607335,collaborator-reported,collaborator CSV,False,Claude,,8.122276,,7,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE base,,2149740.4184828037,collaborator-reported,collaborator CSV,False,Claude,,6.125893,,8,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE base,,2148505.6871502753,collaborator-reported,collaborator CSV,False,Claude,,13.121691,,9,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE base,,2150283.1522562304,collaborator-reported,collaborator CSV,False,Claude,,7.471649,,10,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE deep,,1708999.6662961289,collaborator-reported,collaborator CSV,True,Claude,,15.693669,,1,final-3068,banked/mfree_target3068.csv,1744796.9841897595,15.693669,crossing-time upper bound,True
MFREE deep,,1703217.8619455914,collaborator-reported,collaborator CSV,True,Claude,,16.499705,,2,final-3068,banked/mfree_target3068.csv,1744796.9841897595,16.499705,crossing-time upper bound,True
MFREE deep,,2139692.235065054,collaborator-reported,collaborator CSV,False,Claude,,8.64069,,3,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
MFREE deep,,2144397.6972552985,collaborator-reported,collaborator CSV,False,Claude,,9.605207,,4,final-3068,banked/mfree_target3068.csv,1744796.9841897595,,crossing-time upper bound,True
