stage,cell,scene,arm,rep,target,score_init,cost,hit,target_seconds,native_seconds,outers,accepts,rejects,pcg_per_outer,retry_fraction_native,max_raw_radius_ratio,negcurv,cap_hit,source
practical,trafalgar-138-1.02,trafalgar-138,forcing_reject,0,104627.02846700703,20163569.015917197,104421.13178609911,True,0.1244,0.140567,9,9,0,24.0,0.0,2.456231620500915,0,False,evidence/practical/trafalgar-138-1.02-forcing_reject-0
practical,trafalgar-138-1.02,trafalgar-138,accurate_reference,0,104627.02846700703,20163569.015917197,104394.99053926526,True,0.1527,0.192351,9,9,0,24.0,0.0,2.4556217335639556,0,False,evidence/practical/trafalgar-138-1.02-accurate_reference-0
practical,final-394-1.005,final-394,off,0,306349.5931045434,4545737.692797156,305942.1073157814,True,0.245,0.264509,11,11,0,11.272727272727273,0.0,1.0971686268715544,0,False,evidence/practical/final-394-1.005-off-0
practical,final-394-1.005,final-394,forcing_reject,0,306349.5931045434,4545737.692797155,306216.4943978753,True,0.2246,0.242845,11,11,0,10.181818181818182,0.0,3.118914928189235,0,False,evidence/practical/final-394-1.005-forcing_reject-0
practical,final-394-1.005,final-394,accurate_reference,0,306349.5931045434,4545737.692797156,306018.7947852308,True,0.3507,0.385112,12,12,0,11.666666666666666,0.0,3.9861735259195794,0,False,evidence/practical/final-394-1.005-accurate_reference-0
practical,final-394-1.01,final-394,off,0,307873.7204334218,4545737.692797157,306991.99907382496,True,0.1742,0.193934,9,9,0,8.555555555555555,0.0,1.0971686268684417,0,False,evidence/practical/final-394-1.01-off-0
practical,final-394-1.01,final-394,forcing_reject,0,307873.7204334218,4545737.692797157,307464.55221521494,True,0.2133,0.23146,10,10,0,11.1,0.0,3.118914859786505,0,False,evidence/practical/final-394-1.01-forcing_reject-0
practical,final-394-1.01,final-394,accurate_reference,0,307873.7204334218,4545737.692797157,306256.6331962112,True,0.3613,0.380533,11,11,0,13.0,0.05707343121358726,127.27759098733587,1,False,evidence/practical/final-394-1.01-accurate_reference-0
practical,final-394-1.02,final-394,off,0,310921.97509117844,4545737.692797156,309666.88642151776,True,0.1301,0.148449,8,8,0,5.25,0.0,1.097168626865852,0,False,evidence/practical/final-394-1.02-off-0
practical,final-394-1.02,final-394,forcing_reject,0,310921.97509117844,4545737.692797155,308578.55286646646,True,0.1781,0.215519,9,9,0,9.444444444444445,0.0,3.1189148756253657,0,False,evidence/practical/final-394-1.02-forcing_reject-0
practical,final-394-1.02,final-394,accurate_reference,0,310921.97509117844,4545737.692797157,309468.45648105186,True,0.324,0.342387,9,9,0,13.444444444444445,0.06351831115083224,152.5864167533937,1,False,evidence/practical/final-394-1.02-accurate_reference-0
practical,ladybug-539-1.005,ladybug-539,accurate_reference,1,164797.8493852759,5535080.118240733,164685.9313228521,True,0.1458,0.16356,8,8,0,5.75,0.0,0.7370187813559991,0,False,evidence/practical/ladybug-539-1.005-accurate_reference-1
practical,ladybug-539-1.005,ladybug-539,forcing_reject,1,164797.8493852759,5535080.118240731,164644.45900487347,True,0.0992,0.117428,9,9,1,6.333333333333333,0.053211968184760025,1.1163741412726256,0,False,evidence/practical/ladybug-539-1.005-forcing_reject-1
practical,ladybug-539-1.005,ladybug-539,off,1,164797.8493852759,5535080.118240732,164531.79335663823,True,0.0908,0.112069,9,9,0,4.777777777777778,0.0,0.8039813179611762,0,False,evidence/practical/ladybug-539-1.005-off-1
practical,ladybug-539-1.01,ladybug-539,accurate_reference,1,165617.73918321263,5535080.118240731,164685.93134744038,True,0.1286,0.146421,8,8,0,5.75,0.0,0.7370187813441826,0,False,evidence/practical/ladybug-539-1.01-accurate_reference-1
practical,ladybug-539-1.01,ladybug-539,forcing_reject,1,165617.73918321263,5535080.118240731,165258.18105144287,True,0.0913,0.109688,7,7,1,7.714285714285714,0.06356160199839546,1.1163741412723085,0,False,evidence/practical/ladybug-539-1.01-forcing_reject-1
practical,ladybug-539-1.01,ladybug-539,off,1,165617.73918321263,5535080.118240734,165514.0826131161,True,0.0624,0.104408,6,6,0,6.0,0.0,0.8039813179466038,0,False,evidence/practical/ladybug-539-1.01-off-1
practical,ladybug-539-1.02,ladybug-539,accurate_reference,1,167257.518779086,5535080.118240731,167145.0332199046,True,0.1001,0.117861,5,5,0,5.8,0.0,0.5343357730988443,0,False,evidence/practical/ladybug-539-1.02-accurate_reference-1
practical,ladybug-539-1.02,ladybug-539,forcing_reject,1,167257.518779086,5535080.118240732,167145.05808213027,True,0.0519,0.069623,5,5,0,5.8,0.0,0.5343419888958981,0,False,evidence/practical/ladybug-539-1.02-forcing_reject-1
practical,ladybug-539-1.02,ladybug-539,off,1,167257.518779086,5535080.118240732,165514.0826131255,True,0.062,0.079772,6,6,0,6.0,0.0,0.8039813179945686,0,False,evidence/practical/ladybug-539-1.02-off-1
practical,trafalgar-138-1.005,trafalgar-138,accurate_reference,1,103088.39569543337,20163569.015917197,102948.25565679063,True,0.2985,0.315127,13,13,0,36.46153846153846,0.0,2.4562033822273275,0,False,evidence/practical/trafalgar-138-1.005-accurate_reference-1
